Issue No.,Date,Customer,Issue / Task,Solution,Word Doc. Updated
,2025.05.14,Common,How to import the opening stock and balance stock into the system?,"* For Customer Opening Balances:
Document Owner Code -: Customer code
Document No -: Invoice No
Balance Amount -: Outstanding Amount
Document Type -: COB
Route Code is optional
Add particular Rep Name
Date - dd/MM/yyyy (Should be in Text format)

Steps:
1. Fill the excel sheet correctly by using the above information.
2. Go to Master Data --> Import --> Import Data in the system.
3. Then choose the filled external party opening balances excel file.
4. Then click on the "" Import External Party Opening Balances"" button to upload the excel sh",TRUE
,,Common,"1. How to adjust the stock?
2. How to adjust the batch no issue?
3. When the difference between the physical stock and the system stock.
(E.g.:Physical stock-102, System stock-100)","Stock Adjustment:

Path: Inventory --> Stock Adjustment 
* To add a new stock adjustment, select the supplier, source location, and price list, then click ""Add Line"" to enter product details with quantities. 
* Then click ""Save"" to complete the adjustment.",TRUE
,,Common,How to get Delivery Return? ,,FALSE
,,Common,How to get Market Return?,,FALSE
,,Common,How to get Headoffice Return?,,FALSE
,,Common,"When upload the bulk invoice;
1. ""Batch not found issue""  
2. ""Product code does not exist""","1. Should be checked whether the 'Batch' matches the relevant price list and the 'Batch' in the bulk invoice Excel file.
2.Check;
- Is product existing or not with that product code 
- Is that product on price list",TRUE
,,Common,PDA 'Sync' errors; Stop '0%',Force Top' and 'cache clear' in the app,TRUE
,,Common,PDA 'Sync' errors; Stop '60%',"Backend; Should be check the 'Territory Distributor Mapping' for the relevnt rep
Path: Master Data --> Territory Distributor Mapping",TRUE
,,Common,PDA 'Sync' errors; Stop '87%',Should be check the 'Outstanding Invoices' ,TRUE
,,Nelna Farm,"
Dashboard Report Accessibility Issue

Affected User Roles:  Directors / Sales Admin /  RSM / ASM
DashBoard Reports: Supervisor Sales Summery / Stock Dashboard / Volume Wise Achievement ",Currently this issue has no solution (For Some User Roles). Should be fixed.,FALSE
,,GS,"Backend: Rep locations are not loading in the geo location tab 

'Daily Rep Activity' Report:
GPS is 'ON' but the longitude and latitude are '0'
",Should be given the permission of 'location' on the PDA side.,TRUE
,,MD,"Stock locations are not being loaded in the location-wise batch stock report.

",Should be select the user accessible node. (Rep and Distributor),TRUE
,,My Cola,"Stock Return Credit Node:
Some product prices are shown wrong or appear as 0 for some distributors.",Should be check the price list ,FALSE
,2025.05.15,NBC,"When select the price list, product UOM and credit term but Products are not loading in the PO",Backend: Should adding product group to relevant rep node,FALSE
,,NBC,Reps can't see items in the mobile app,Should be check the Price Batches ,FALSE
,,NBC,Uploaded GRN Qty mismatch ,Return the difference qty by purchase return debit note,FALSE
,,Delmage FFA,"1. Target not showing for the relevant rep in the Target Vs. Achievement Dashboard
2. Target Upload Error Message called ''Period name does not exist'' but the period name already created.
3. How to Create Target Period","1. Add text to the sales hierarchy nodes device imei and active the node
2. Create period name in the backend (Explain process)",TRUE
,,Common,Products not showing in SFA App ,"Should be check:
- Distributor locations add to rep node
- Stock should be available in relevant stock location
- due to Stock shortage
- tik on 'Available to SFA'
- product not in secondary price list
- Products should be applied to the product group
- Relevant product group should be applied to the rep node",TRUE
,,Common,"Error on ""can't access this route plase contact your administrator""",Should be add the visit plan,FALSE
